date,electricity_kwh,fuel_litres,ALLSKY_SFC_SW_DWN,WS50M,WD50M,PS,T2M,RH2M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M_MIN,year,month,quarter
1986-01-01,131866.0,,,,,,,,,,,,1986,1,1
1986-02-01,,,,,,,,,,,,,1986,2,1
1986-03-01,132624.0,,,,,,,,,,,,1986,3,1
1986-04-01,159096.0,,,,,,,,,,,,1986,4,2
1986-05-01,168630.0,,,,,,,,,,,,1986,5,2
1986-06-01,171122.0,,,,,,,,,,,,1986,6,2
1986-07-01,171248.0,,,,,,,,,,,,1986,7,3
1986-08-01,172494.0,,,,,,,,,,,,1986,8,3
1986-09-01,159418.0,,,,,,,,,,,,1986,9,3
1986-10-01,153104.0,,,,,,,,,,,,1986,10,4
1986-11-01,139720.0,,,,,,,,,,,,1986,11,4
1986-12-01,130816.0,,,,,,,,,,,,1986,12,4
1987-01-01,122822.0,,,,,,,,,,,,1987,1,1
1987-02-01,132034.0,,,,,,,,,,,,1987,2,1
1987-03-01,147854.0,,,,,,,,,,,,1987,3,1
1987-04-01,154140.0,,,,,,,,,,,,1987,4,2
1987-05-01,168210.0,,,,,,,,,,,,1987,5,2
1987-06-01,162050.0,,,,,,,,,,,,1987,6,2
1987-07-01,172536.0,,,,,,,,,,,,1987,7,3
1987-08-01,177730.0,,,,,,,,,,,,1987,8,3
1987-09-01,162652.0,,,,,,,,,,,,1987,9,3
1987-10-01,152180.0,,,,,,,,,,,,1987,10,4
1987-11-01,133476.0,,,,,,,,,,,,1987,11,4
1987-12-01,112042.0,,,,,,,,,,,,1987,12,4
1988-01-01,127806.0,,,,,,,,,,,,1988,1,1
1988-02-01,135464.0,,,,,,,,,,,,1988,2,1
1988-03-01,156758.0,,,,,,,,,,,,1988,3,1
1988-04-01,157332.0,,,,,,,,,,,,1988,4,2
1988-05-01,156170.0,,,,,,,,,,,,1988,5,2
1988-06-01,161112.0,,,,,,,,,,,,1988,6,2
1988-07-01,168574.0,,,,,,,,,,,,1988,7,3
1988-08-01,162932.0,,,,,,,,,,,,1988,8,3
1988-09-01,157766.0,,,,,,,,,,,,1988,9,3
1988-10-01,154014.0,,,,,,,,,,,,1988,10,4
1988-11-01,138446.0,,,,,,,,,,,,1988,11,4
1988-12-01,121030.0,,,,,,,,,,,,1988,12,4
1989-01-01,124600.0,,,,,,,,,,,,1989,1,1
1989-02-01,126434.0,,,,,,,,,,,,1989,2,1
1989-03-01,142380.0,,,,,,,,,,,,1989,3,1
1989-04-01,143206.0,,,,,,,,,,,,1989,4,2
1989-05-01,161770.0,,,,,,,,,,,,1989,5,2
1989-06-01,104020.0,,,,,,,,,,,,1989,6,2
1989-07-01,181580.0,,,,,,,,,,,,1989,7,3
1989-08-01,,,,,,,,,,,,,1989,8,3
1989-09-01,,,,,,,,,,,,,1989,9,3
1989-10-01,,,,,,,,,,,,,1989,10,4
1989-11-01,,,,,,,,,,,,,1989,11,4
1989-12-01,,,,,,,,,,,,,1989,12,4
1990-01-01,181580.0,,,,,,,,,,,,1990,1,1
1990-02-01,186899.0,,,,,,,,,,,,1990,2,1
1990-03-01,,,,,,,,,,,,,1990,3,1
1990-04-01,,,,,,,,,,,,,1990,4,2
1990-05-01,166082.0,,,,,,,,,,,,1990,5,2
1990-06-01,175014.0,,,,,,,,,,,,1990,6,2
1990-07-01,178906.0,,,,,,,,,,,,1990,7,3
1990-08-01,181720.0,,,,,,,,,,,,1990,8,3
1990-09-01,150010.0,,,,,,,,,,,,1990,9,3
1990-10-01,161238.0,,,,,,,,,,,,1990,10,4
1990-11-01,131782.0,,,,,,,,,,,,1990,11,4
1990-12-01,128192.0,,,,,,,,,,,,1990,12,4
1991-01-01,117964.0,,,,,,,,,,,,1991,1,1
1991-02-01,131684.0,,,,,,,,,,,,1991,2,1
1991-03-01,152712.0,,,,,,,,,,,,1991,3,1
1991-04-01,161686.0,,,,,,,,,,,,1991,4,2
1991-05-01,186438.0,,,,,,,,,,,,1991,5,2
1991-06-01,177912.0,,,,,,,,,,,,1991,6,2
1991-07-01,186186.0,,,,,,,,,,,,1991,7,3
1991-08-01,189812.0,,,,,,,,,,,,1991,8,3
1991-09-01,177030.0,,,,,,,,,,,,1991,9,3
1991-10-01,170240.0,,,,,,,,,,,,1991,10,4
1991-11-01,151396.0,,,,,,,,,,,,1991,11,4
1991-12-01,138334.0,,,,,,,,,,,,1991,12,4
1992-01-01,155960.0,,,,,,,,,,,,1992,1,1
1992-02-01,154560.0,,,,,,,,,,,,1992,2,1
1992-03-01,180530.0,,,,,,,,,,,,1992,3,1
1992-04-01,185080.0,,,,,,,,,,,,1992,4,2
1992-05-01,189840.0,,,,,,,,,,,,1992,5,2
1992-06-01,186741.0,,,,,,,,,,,,1992,6,2
1992-07-01,212562.0,,,,,,,,,,,,1992,7,3
1992-08-01,221824.0,,,,,,,,,,,,1992,8,3
1992-09-01,207634.0,,,,,,,,,,,,1992,9,3
1992-10-01,199122.0,,,,,,,,,,,,1992,10,4
1992-11-01,169694.0,,,,,,,,,,,,1992,11,4
1993-01-01,133295.0,46837.0,7.408690322580645,10.519677419354839,126.80322580645162,96.37516129032258,-3.1490322580645165,71.19967741935484,-0.9648387096774194,-5.819677419354838,11.899354838709677,5.031612903225806,1993,1,1
1993-02-01,148505.0,44224.0,5.415703571428572,9.296785714285715,141.9892857142857,95.36821428571429,-7.049285714285714,65.43571428571428,-4.826428571428572,-9.596428571428572,11.618571428571428,4.553928571428572,1993,2,1
1993-03-01,179051.0,60008.0,2.9929806451612904,9.480322580645161,138.9225806451613,95.87258064516129,-13.461935483870967,73.67032258064516,-11.633225806451613,-15.525483870967742,10.755483870967742,5.808387096774194,1993,3,1
1993-04-01,189779.0,66361.0,1.0486099999999998,10.836,141.23,95.75333333333333,-19.372666666666667,77.68833333333333,-17.607333333333333,-21.33833333333333,12.196333333333333,5.785333333333333,1993,4,2
1993-05-01,206185.0,73614.0,0.11912903225806452,10.954516129032257,139.08064516129033,95.44870967741934,-22.90838709677419,77.31290322580645,-20.862903225806452,-24.969354838709677,12.649032258064516,4.886129032258064,1993,5,2
1993-06-01,197923.0,68455.0,0.00047,10.302666666666665,135.10333333333332,95.43866666666666,-22.570666666666668,79.19766666666666,-20.619000000000003,-25.296666666666667,11.765333333333333,5.156000000000001,1993,6,2
1993-07-01,203385.0,70883.0,0.03468709677419354,8.805483870967741,138.5677419354839,95.03322580645163,-23.636129032258065,81.9283870967742,-21.82903225806452,-25.809677419354838,9.944193548387096,4.077096774193548,1993,7,3
1993-08-01,198118.0,69062.0,0.6109806451612904,9.248709677419356,137.43548387096774,94.85032258064517,-25.47774193548387,81.79967741935484,-23.752903225806453,-27.556451612903224,9.819032258064516,4.400645161290322,1993,8,3
1993-09-01,187794.0,68592.0,2.9166366666666668,9.572666666666667,137.07999999999998,95.13733333333333,-22.752333333333336,76.37899999999999,-20.665666666666667,-25.307333333333336,10.648333333333333,4.656333333333333,1993,9,3
1993-10-01,179090.0,62229.0,5.252232258064516,9.087096774193547,134.61290322580646,94.9767741935484,-16.84225806451613,69.98387096774194,-13.995483870967742,-20.511935483870968,10.916451612903227,4.0525806451612905,1993,10,4
1993-11-01,161825.0,50975.0,7.3715166666666665,8.799333333333333,129.66333333333333,95.425,-11.303666666666667,65.23366666666666,-8.109666666666666,-14.974666666666668,10.335333333333333,4.2796666666666665,1993,11,4
1993-12-01,181536.0,57053.0,8.513012903225805,9.843870967741937,133.90322580645162,95.59967741935485,-5.753225806451613,67.49193548387096,-3.261290322580645,-9.040967741935484,10.939032258064517,5.013870967741935,1993,12,4
1994-01-01,171500.0,51568.0,7.366003225806452,9.829677419354839,121.96451612903226,95.73064516129033,-3.8845161290322583,74.77451612903226,-2.3641935483870964,-5.736451612903227,11.255161290322581,5.244193548387097,1994,1,1
1994-02-01,173657.0,58484.0,5.272728571428572,9.224642857142857,137.65357142857144,95.40714285714286,-7.621071428571428,66.36535714285715,-5.554285714285714,-9.798214285714286,11.098928571428571,4.462857142857143,1994,2,1
1994-03-01,194716.0,76078.0,2.897641935483871,9.716451612903224,141.2,95.26741935483871,-13.148064516129033,75.38548387096773,-11.357096774193549,-15.074193548387097,11.37516129032258,5.459677419354839,1994,3,1
1994-04-01,198951.0,74699.0,1.0899066666666668,10.614666666666666,140.04666666666665,96.01,-18.596,78.08266666666667,-16.794333333333334,-20.591333333333335,11.399666666666667,5.788333333333333,1994,4,2
1994-05-01,210663.0,78484.0,0.13416451612903227,9.770967741935483,141.33225806451614,96.24580645161289,-23.218064516129033,78.7958064516129,-21.251290322580644,-25.021290322580644,11.636774193548387,4.20483870967742,1994,5,2
1994-06-01,191390.0,68931.0,0.00047,13.451666666666666,129.30333333333334,96.557,-16.110333333333333,72.02199999999999,-14.308,-18.284,14.84,7.843,1994,6,2
1994-07-01,207354.0,73453.0,0.03140645161290322,11.15548387096774,137.05483870967743,95.8316129032258,-19.075483870967744,72.63806451612903,-17.300967741935484,-21.07677419354839,11.250322580645161,5.843870967741935,1994,7,3
1994-08-01,215036.0,75598.0,0.6645290322580645,10.348709677419356,137.25483870967741,95.10258064516128,-23.783870967741933,79.86258064516129,-21.654193548387095,-26.06451612903226,11.631935483870967,5.420322580645161,1994,8,3
1994-09-01,198832.0,69716.0,2.8296,10.646666666666667,142.82666666666668,95.249,-19.051,74.20233333333334,-16.957333333333334,-21.986,11.461666666666668,5.681666666666667,1994,9,3
1994-10-01,190548.0,65339.0,4.916754838709677,9.289354838709679,131.08709677419355,95.16,-15.693870967741935,70.83064516129032,-13.040967741935484,-18.79,10.528064516129032,4.525806451612904,1994,10,4
1994-11-01,182124.0,59819.0,7.122033333333333,11.171,130.30333333333334,95.98066666666666,-10.07,66.555,-7.269666666666667,-13.343333333333334,11.795666666666667,6.256,1994,11,4
1994-12-01,172340.0,53094.0,8.155199999999999,8.773225806451611,133.69032258064516,95.29870967741935,-5.5761290322580646,69.20387096774193,-3.1229032258064517,-8.910645161290324,10.300645161290323,3.8351612903225805,1994,12,4
1995-01-01,177596.0,53587.0,6.7461290322580645,8.003225806451614,140.5483870967742,95.58064516129032,-5.353548387096774,69.02225806451614,-2.8070967741935484,-8.649354838709677,9.632903225806452,3.532258064516129,1995,1,1
1995-02-01,161417.0,54743.0,5.169135714285715,10.373214285714285,132.9892857142857,95.8225,-7.899642857142857,65.85642857142857,-5.433928571428572,-10.9825,12.399285714285714,5.006785714285714,1995,2,1
1995-03-01,210419.0,61617.0,2.955241935483871,10.391290322580645,137.86774193548385,95.61999999999999,-12.605161290322581,69.54032258064517,-10.403870967741934,-14.909032258064517,12.024838709677418,5.1164516129032265,1995,3,1
1995-04-01,194366.0,61463.0,1.02427,11.702,132.51333333333335,95.747,-14.154,72.734,-12.645000000000001,-16.079,13.256,6.3919999999999995,1995,4,2
1995-05-01,217484.0,65657.0,0.118,10.402258064516127,138.1483870967742,95.38580645161291,-19.99741935483871,76.22387096774193,-18.09774193548387,-22.307419354838707,12.05516129032258,5.232903225806451,1995,5,2
1995-06-01,214907.0,64673.0,0.00047,11.583666666666666,136.72666666666666,95.82733333333334,-21.843666666666664,78.45366666666668,-19.642333333333333,-24.541333333333334,13.249,6.238333333333333,1995,6,2
1995-07-01,202772.0,59942.0,0.030964516129032258,16.871290322580645,128.7258064516129,95.98129032258065,-12.67483870967742,71.74677419354839,-10.88258064516129,-14.735161290322582,19.223870967741938,10.15258064516129,1995,7,3
1995-08-01,223804.0,69094.0,0.664416129032258,9.253870967741936,141.53225806451613,95.6374193548387,-23.1658064516129,79.6116129032258,-21.01774193548387,-25.33483870967742,10.690645161290321,4.579677419354839,1995,8,3
1995-09-01,207154.0,63870.0,2.2042300000000004,10.911333333333333,135.50666666666666,94.096,-20.994000000000003,77.53566666666667,-19.086000000000002,-23.372,13.129,5.276,1995,9,3
1995-10-01,201505.0,62003.0,5.2077193548387095,10.51741935483871,141.25483870967741,95.58548387096775,-18.145806451612902,69.67032258064516,-15.341290322580644,-21.483870967741936,12.052903225806451,5.249677419354839,1995,10,4
1995-11-01,178051.0,54392.0,7.535293333333333,9.554,133.61,95.66900000000001,-10.557666666666668,66.81666666666666,-7.4126666666666665,-14.475333333333333,10.343666666666667,5.4943333333333335,1995,11,4
1995-12-01,174160.0,53070.0,7.9765999999999995,8.608709677419355,129.61612903225807,95.39064516129032,-4.563870967741935,70.10677419354839,-2.14,-7.911935483870968,9.933225806451613,3.7616129032258065,1995,12,4
1996-01-01,162977.0,48309.0,7.02931935483871,10.977741935483872,129.8709677419355,95.87193548387097,-3.0474193548387096,70.55935483870968,-1.1,-5.647741935483871,12.73741935483871,5.521612903225806,1996,1,1
1996-02-01,159970.0,52263.0,5.027862068965517,10.267241379310345,132.9,96.0751724137931,-5.9479310344827585,69.20551724137931,-4.229310344827587,-8.02206896551724,12.55448275862069,5.025862068965517,1996,2,1
1996-03-01,196460.0,57795.0,2.6743741935483873,10.818064516129033,139.38709677419354,95.4341935483871,-11.658064516129032,73.42354838709677,-10.047741935483872,-13.575806451612904,13.227741935483872,5.441290322580645,1996,3,1
1996-04-01,188630.0,58533.0,0.9290433333333333,10.080666666666668,136.41666666666666,95.73633333333333,-17.860333333333333,74.25533333333333,-15.946,-20.133666666666667,11.256666666666666,5.1016666666666675,1996,4,2
1996-05-01,214241.0,68915.0,0.11178064516129031,11.145483870967741,140.61290322580646,95.7116129032258,-23.705483870967743,80.76645161290324,-22.248064516129034,-25.364193548387096,12.603225806451613,6.006451612903225,1996,5,2
1996-06-01,194263.0,60460.0,0.00047,13.074333333333334,134.92666666666668,95.83333333333333,-18.08,68.72733333333333,-16.139333333333333,-20.182666666666666,14.348,7.105666666666666,1996,6,2
1996-07-01,203673.0,65854.0,0.03409032258064516,9.949677419354838,143.51290322580644,96.15774193548387,-22.051612903225806,72.93064516129031,-20.287419354838708,-23.901290322580643,10.173548387096774,5.404193548387097,1996,7,3
1996-08-01,197839.0,65699.0,0.6156774193548387,12.64774193548387,139.68387096774194,95.38612903225805,-17.951290322580647,71.10645161290323,-15.785806451612904,-20.46548387096774,13.60774193548387,7.2948387096774185,1996,8,3
1996-09-01,189485.0,61383.0,2.5859099999999997,11.414666666666667,142.66333333333336,96.53433333333332,-17.708000000000002,70.06466666666667,-15.29,-20.433333333333334,12.79,6.4030000000000005,1996,9,3
1996-10-01,190873.0,61849.0,5.402722580645161,12.001290322580646,139.49032258064514,94.98967741935483,-15.644838709677419,69.47774193548386,-12.92741935483871,-18.726451612903226,13.925483870967742,6.5606451612903225,1996,10,4
1996-11-01,169907.0,53479.0,8.043716666666667,11.884333333333332,136.32333333333332,95.9,-8.966666666666667,64.51766666666667,-5.924333333333333,-12.574666666666667,13.478,6.706333333333333,1996,11,4
1996-12-01,163608.0,52755.0,8.45794193548387,10.739032258064515,127.67096774193548,95.86935483870967,-4.094838709677419,70.86258064516129,-1.8270967741935484,-6.918064516129032,12.37516129032258,5.550000000000001,1996,12,4
1997-01-01,167591.0,49877.0,7.626387096774193,8.612903225806452,130.31935483870967,95.89064516129032,-4.289354838709677,71.0941935483871,-1.9874193548387096,-7.140645161290322,10.851612903225806,3.564516129032258,1997,1,1
1997-02-01,152336.0,47039.0,5.288046428571429,9.791071428571428,142.18928571428572,95.65142857142857,-7.003571428571428,68.47749999999999,-5.041428571428571,-9.143214285714285,11.81,4.805357142857143,1997,2,1
1997-03-01,183457.0,55874.0,2.793309677419355,10.639999999999999,137.88709677419354,94.93064516129031,-10.520645161290322,70.78387096774195,-8.763548387096774,-12.834838709677419,12.170322580645163,5.851612903225806,1997,3,1
1997-04-01,199936.0,63655.0,1.0446133333333334,10.370000000000001,138.82000000000002,96.253,-18.181333333333335,73.26566666666666,-16.289666666666665,-20.201666666666664,11.004666666666667,5.566666666666666,1997,4,2
1997-05-01,215160.0,71595.0,0.1271741935483871,10.443870967741935,143.55161290322582,95.37096774193549,-22.211290322580645,76.36483870967741,-20.246774193548386,-24.471290322580646,11.586129032258064,5.198709677419354,1997,5,2
1997-06-01,201084.0,65415.0,0.00047,11.435333333333334,142.7133333333333,96.23299999999999,-19.60533333333333,68.73466666666667,-17.663333333333334,-21.639333333333333,12.228,6.145666666666667,1997,6,2
1997-07-01,207035.0,74792.0,0.03201935483870968,12.05483870967742,142.90967741935484,94.83290322580646,-23.17258064516129,77.36451612903227,-21.081935483870968,-25.43935483870968,12.279677419354838,7.059677419354839,1997,7,3
1997-08-01,208333.0,70679.0,0.6203,13.140645161290323,138.65483870967742,95.09645161290322,-22.181935483870966,76.21032258064515,-20.31032258064516,-24.70741935483871,15.526129032258064,6.780322580645161,1997,8,3
1997-09-01,193992.0,63957.0,3.0341233333333335,8.929333333333334,141.42333333333332,95.296,-23.868333333333332,80.85866666666666,-21.502333333333333,-26.26033333333333,10.179333333333334,4.505333333333334,1997,9,3
1997-10-01,186592.0,63711.0,5.496438709677419,11.323870967741936,134.88387096774193,95.30225806451612,-16.930967741935483,69.86129032258064,-14.191612903225806,-19.914516129032258,12.16451612903226,6.879677419354839,1997,10,4
1997-11-01,157472.0,52666.0,7.909643333333333,10.4,137.77333333333334,96.11200000000001,-9.382666666666667,65.76666666666667,-6.0,-13.539666666666667,11.740666666666668,5.047,1997,11,4
1997-12-01,159765.0,50265.0,8.175661290322582,11.768064516129032,134.29677419354837,95.93774193548387,-3.875483870967742,71.28193548387097,-1.7106451612903226,-6.894193548387097,12.869677419354838,6.5448387096774185,1997,12,4
1998-01-01,155902.0,44981.0,7.6145387096774195,9.318064516129033,129.88387096774193,95.57483870967742,-4.186451612903226,68.78806451612903,-2.0583870967741937,-6.84741935483871,10.999354838709678,4.475483870967742,1998,1,1
1998-02-01,145384.0,47092.0,5.083635714285714,10.339642857142858,125.925,95.47214285714286,-6.4471428571428575,72.68142857142858,-4.6832142857142856,-8.693928571428572,11.727500000000001,6.073571428571428,1998,2,1
1998-03-01,172450.0,54409.0,2.993461290322581,10.013870967741935,144.7483870967742,95.57903225806452,-13.538709677419355,69.63129032258065,-11.571612903225805,-15.536774193548387,11.19032258064516,6.128387096774194,1998,3,1
1998-04-01,181250.0,59613.0,1.1756633333333333,9.257333333333333,146.36333333333332,94.624,-21.686666666666667,81.03033333333333,-19.579333333333334,-23.860666666666667,10.901,4.502,1998,4,2
1998-05-01,182061.0,68362.0,0.12351612903225807,11.726451612903226,141.0225806451613,95.5283870967742,-21.164193548387097,71.30032258064516,-19.240322580645163,-23.213870967741936,12.71032258064516,6.396451612903226,1998,5,2
1998-06-01,173775.0,56935.0,0.00047,13.293333333333333,139.48999999999998,95.264,-19.002666666666666,71.29233333333333,-16.874333333333333,-21.32766666666667,14.335,7.869,1998,6,2
