-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8736 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,RH2M
1993,1,1,67.66
1993,1,2,65.23
1993,1,3,72.25
1993,1,4,60.97
1993,1,5,68.48
1993,1,6,76.14
1993,1,7,75.38
1993,1,8,81.7
1993,1,9,66.92
1993,1,10,64.72
1993,1,11,62.74
1993,1,12,68.76
1993,1,13,72.67
1993,1,14,83.07
1993,1,15,84.85
1993,1,16,73.86
1993,1,17,70.08
1993,1,18,71.47
1993,1,19,78.2
1993,1,20,74.01
1993,1,21,70.85
1993,1,22,76.67
1993,1,23,72.96
1993,1,24,68.57
1993,1,25,67.95
1993,1,26,65.71
1993,1,27,72.48
1993,1,28,70.31
1993,1,29,64.81
1993,1,30,67.63
1993,1,31,70.09
1993,2,1,67.16
1993,2,2,68.25
1993,2,3,65.76
1993,2,4,61.58
1993,2,5,60.07
1993,2,6,62.04
1993,2,7,61.93
1993,2,8,64.47
1993,2,9,67.08
1993,2,10,63.84
1993,2,11,65.99
1993,2,12,66.36
1993,2,13,57.32
1993,2,14,59.33
1993,2,15,61.84
1993,2,16,65.99
1993,2,17,71.43
1993,2,18,62.89
1993,2,19,57.24
1993,2,20,66.8
1993,2,21,70.56
1993,2,22,83.45
1993,2,23,73.09
1993,2,24,61.12
1993,2,25,63.66
1993,2,26,66.08
1993,2,27,71.03
1993,2,28,65.84
1993,3,1,68.94
1993,3,2,72.89
1993,3,3,65.7
1993,3,4,66.87
1993,3,5,72.73
1993,3,6,67.68
1993,3,7,65.14
1993,3,8,69.34
1993,3,9,72.47
1993,3,10,74.75
1993,3,11,56.49
1993,3,12,61.21
1993,3,13,73.53
1993,3,14,68.9
1993,3,15,69.77
1993,3,16,79.97
1993,3,17,88.12
1993,3,18,79.26
1993,3,19,73.28
1993,3,20,76.66
1993,3,21,93.6
1993,3,22,88.6
1993,3,23,77.67
1993,3,24,71.62
1993,3,25,78.16
1993,3,26,80.9
1993,3,27,70.03
1993,3,28,77.25
1993,3,29,71.74
1993,3,30,79.13
1993,3,31,71.38
1993,4,1,68.71
1993,4,2,60.38
1993,4,3,78.53
1993,4,4,77.76
1993,4,5,72.65
1993,4,6,76.88
1993,4,7,79.57
1993,4,8,67.63
1993,4,9,62.01
1993,4,10,77.02
1993,4,11,80.03
1993,4,12,85.68
1993,4,13,94.71
1993,4,14,80.63
1993,4,15,63.26
1993,4,16,67.29
1993,4,17,74.04
1993,4,18,65.76
1993,4,19,76.46
1993,4,20,95.6
1993,4,21,92.79
1993,4,22,72.52
1993,4,23,75.19
1993,4,24,75.5
1993,4,25,74.57
1993,4,26,79.79
1993,4,27,89.72
1993,4,28,86.13
1993,4,29,90.69
