-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8736 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
1993,1,1,9.054
1993,1,2,9.078
1993,1,3,8.7869
1993,1,4,9.4478
1993,1,5,8.8838
1993,1,6,8.3129
1993,1,7,7.2802
1993,1,8,7.279
1993,1,9,7.7674
1993,1,10,6.4157
1993,1,11,8.3633
1993,1,12,4.7105
1993,1,13,3.9497
1993,1,14,7.9898
1993,1,15,6.6127
1993,1,16,6.1822
1993,1,17,8.4283
1993,1,18,8.7276
1993,1,19,6.4531
1993,1,20,7.1758
1993,1,21,8.4816
1993,1,22,5.605
1993,1,23,5.0066
1993,1,24,7.5564
1993,1,25,8.3215
1993,1,26,8.2968
1993,1,27,5.4869
1993,1,28,8.3446
1993,1,29,7.9253
1993,1,30,6.9233
1993,1,31,6.8227
1993,2,1,6.9386
1993,2,2,7.0183
1993,2,3,7.4743
1993,2,4,6.9715
1993,2,5,7.5017
1993,2,6,7.0488
1993,2,7,7.1018
1993,2,8,3.9163
1993,2,9,6.2959
1993,2,10,6.7092
1993,2,11,4.8403
1993,2,12,4.2139
1993,2,13,6.5071
1993,2,14,6.2208
1993,2,15,5.8594
1993,2,16,4.9534
1993,2,17,5.489
1993,2,18,3.913
1993,2,19,5.0779
1993,2,20,5.471
1993,2,21,4.7542
1993,2,22,2.4847
1993,2,23,3.2234
1993,2,24,4.4165
1993,2,25,3.913
1993,2,26,4.2518
1993,2,27,3.8981
1993,2,28,5.1758
1993,3,1,3.876
1993,3,2,3.2263
1993,3,3,3.8354
1993,3,4,4.7126
1993,3,5,3.8782
1993,3,6,3.2772
1993,3,7,2.863
1993,3,8,3.3341
1993,3,9,2.634
1993,3,10,2.4185
1993,3,11,3.539
1993,3,12,3.5474
1993,3,13,2.8289
1993,3,14,3.3535
1993,3,15,3.3758
1993,3,16,3.1399
1993,3,17,3.1471
1993,3,18,3.5254
1993,3,19,3.1397
1993,3,20,2.9981
1993,3,21,2.6729
1993,3,22,2.8486
1993,3,23,2.3453
1993,3,24,2.7473
1993,3,25,2.7547
1993,3,26,2.172
1993,3,27,2.7492
1993,3,28,1.8612
1993,3,29,2.1202
1993,3,30,2.041
1993,3,31,1.8199
1993,4,1,1.9294
1993,4,2,1.92
1993,4,3,1.6843
1993,4,4,1.7006
1993,4,5,1.5185
1993,4,6,1.4573
1993,4,7,1.4988
1993,4,8,1.4381
1993,4,9,1.4066
1993,4,10,1.4165
1993,4,11,1.2122
1993,4,12,1.1609
1993,4,13,1.2046
1993,4,14,1.1263
1993,4,15,1.1803
1993,4,16,1.1374
1993,4,17,0.7987
1993,4,18,0.9146
1993,4,19,0.7399
1993,4,20,0.6715
1993,4,21,0.6168
1993,4,22,0.6103
1993,4,23,0.6132
1993,4,24,0.637
1993,4,25,0.6173
1993,4,26,0.5309
1993,4,27,0.4858
1993,4,28,0.4346
1993,4,29,0.4193
1993,4,30,0.3766
1993,5,1,0.3713
1993,5,2,0.3586
1993,5,3,0.281
1993,5,4,0.2602
1993,5,5,0.2314
1993,5,6,0.1992
1993,5,7,0.1966
1993,5,8,0.2018
1993,5,9,0.2057
1993,5,10,0.1632
1993,5,11,0.1373
1993,5,12,0.1248
1993,5,13,0.1087
1993,5,14,0.0958
1993,5,15,0.0922
1993,5,16,0.0818
1993,5,17,0.0845
1993,5,18,0.0787
1993,5,19,0.0725
1993,5,20,0.0646
1993,5,21,0.0581
1993,5,22,0.049
1993,5,23,0.0386
1993,5,24,0.0346
1993,5,25,0.029
1993,5,26,0.0221
1993,5,27,0.0166
1993,5,28,0.013
1993,5,29,0.0103
1993,5,30,0.007
1993,5,31,0.0048
1993,6,1,0.0048
1993,6,2,0.0014
1993,6,3,0.0012
1993,6,4,0.0012
1993,6,5,0.001
1993,6,6,0.001
1993,6,7,0.0007
1993,6,8,0.0007
1993,6,9,0.0007
1993,6,10,0.0005
1993,6,11,0.0005
1993,6,12,0.0002
1993,6,13,0.0002
1993,6,14,0.0
1993,6,15,0.0
1993,6,16,0.0
1993,6,17,0.0
1993,6,18,0.0
1993,6,19,0.0
1993,6,20,0.0
1993,6,21,0.0
1993,6,22,0.0
1993,6,23,0.0
1993,6,24,0.0
1993,6,25,0.0
1993,6,26,0.0
1993,6,27,0.0
1993,6,28,0.0
1993,6,29,0.0
1993,6,30,0.0
1993,7,1,0.0
1993,7,2,0.0
1993,7,3,0.0
1993,7,4,0.0
1993,7,5,0.0
1993,7,6,0.0
1993,7,7,0.0
1993,7,8,0.0
1993,7,9,0.0
1993,7,10,0.0
1993,7,11,0.0029
1993,7,12,0.0029
1993,7,13,0.0067
1993,7,14,0.0094
1993,7,15,0.012
1993,7,16,0.017
1993,7,17,0.0197
1993,7,18,0.0223
1993,7,19,0.025
1993,7,20,0.0329
1993,7,21,0.035
1993,7,22,0.0415
1993,7,23,0.0509
1993,7,24,0.055
1993,7,25,0.0574
1993,7,26,0.0852
1993,7,27,0.0936
1993,7,28,0.0955
1993,7,29,0.1135
1993,7,30,0.1512
1993,7,31,0.1457
1993,8,1,0.1668
1993,8,2,0.1442
1993,8,3,0.2146
1993,8,4,0.1666
1993,8,5,0.221
1993,8,6,0.2299
1993,8,7,0.2494
1993,8,8,0.2515
1993,8,9,0.3086
1993,8,10,0.3847
1993,8,11,0.3185
1993,8,12,0.3866
1993,8,13,0.3984
1993,8,14,0.4097
1993,8,15,0.4073
1993,8,16,0.4987
1993,8,17,0.649
1993,8,18,0.7066
1993,8,19,0.6312
1993,8,20,0.6883
1993,8,21,0.7817
1993,8,22,0.8086
1993,8,23,0.8201
1993,8,24,0.8321
1993,8,25,0.8844
1993,8,26,0.9425
1993,8,27,1.1453
1993,8,28,1.1942
1993,8,29,1.2542
1993,8,30,1.4213
1993,8,31,1.4244
1993,9,1,1.8161
1993,9,2,1.8295
1993,9,3,1.7453
1993,9,4,1.8984
1993,9,5,2.1554
1993,9,6,2.173
1993,9,7,2.221
1993,9,8,2.2138
1993,9,9,2.0693
1993,9,10,2.5596
1993,9,11,2.5543
1993,9,12,2.1341
1993,9,13,2.6467
1993,9,14,2.9196
1993,9,15,2.9654
1993,9,16,2.9246
1993,9,17,3.1601
1993,9,18,2.7953
1993,9,19,3.3211
1993,9,20,3.2683
1993,9,21,3.5938
1993,9,22,3.4716
1993,9,23,3.5801
1993,9,24,3.8191
1993,9,25,3.798
1993,9,26,3.8863
1993,9,27,3.8842
1993,9,28,3.7594
1993,9,29,4.0073
1993,9,30,4.3284
1993,10,1,4.728
1993,10,2,4.4268
1993,10,3,4.8295
1993,10,4,4.6166
1993,10,5,4.2194
1993,10,6,4.2331
1993,10,7,4.7978
1993,10,8,4.3135
1993,10,9,4.7815
1993,10,10,4.3711
1993,10,11,5.2639
1993,10,12,4.9015
1993,10,13,5.7444
1993,10,14,5.3717
1993,10,15,5.7295
1993,10,16,5.2099
1993,10,17,4.8689
1993,10,18,5.1605
1993,10,19,5.5481
1993,10,20,5.509
1993,10,21,5.9638
1993,10,22,5.4228
1993,10,23,5.6714
1993,10,24,5.9897
1993,10,25,4.8677
1993,10,26,5.3381
1993,10,27,6.0799
1993,10,28,6.6209
1993,10,29,5.303
1993,10,30,6.5222
1993,10,31,6.415
1993,11,1,4.7472
1993,11,2,5.023
1993,11,3,7.6181
1993,11,4,7.9397
1993,11,5,7.2451
1993,11,6,7.1078
1993,11,7,7.1078
1993,11,8,7.2194
1993,11,9,6.6744
1993,11,10,7.7402
1993,11,11,6.881
1993,11,12,7.271
1993,11,13,7.4642
1993,11,14,7.1383
1993,11,15,6.6391
1993,11,16,7.9121
1993,11,17,7.685
1993,11,18,7.6061
1993,11,19,8.8975
1993,11,20,6.3869
1993,11,21,8.3856
1993,11,22,4.0428
1993,11,23,7.5194
1993,11,24,7.6423
1993,11,25,8.124
1993,11,26,8.6261
1993,11,27,8.4343
1993,11,28,7.9565
1993,11,29,8.3028
1993,11,30,9.8078
1993,12,1,7.5269
1993,12,2,7.9416
1993,12,3,9.5407
1993,12,4,9.217
1993,12,5,8.9707
1993,12,6,8.9023
1993,12,7,8.9203
1993,12,8,7.1119
1993,12,9,7.8132
1993,12,10,7.0481
1993,12,11,9.4363
1993,12,12,9.7985
1993,12,13,9.7586
1993,12,14,10.0786
1993,12,15,10.0891
1993,12,16,9.6276
1993,12,17,9.1915
1993,12,18,8.4358
1993,12,19,6.1603
1993,12,20,7.8809
1993,12,21,9.1572
1993,12,22,5.3323
1993,12,23,6.947
1993,12,24,8.7374
1993,12,25,9.9967
1993,12,26,9.025
1993,12,27,8.2766
1993,12,28,9.1068
1993,12,29,7.337
1993,12,30,9.0917
1993,12,31,7.4458
1994,1,1,8.005
1994,1,2,8.2421
1994,1,3,6.6149
1994,1,4,7.8175
1994,1,5,8.4456
1994,1,6,8.0926
1994,1,7,6.6571
1994,1,8,8.2666
1994,1,9,7.4436
1994,1,10,8.6306
1994,1,11,8.5992
1994,1,12,8.8226
1994,1,13,6.9751
1994,1,14,8.5058
1994,1,15,7.2941
1994,1,16,8.2404
1994,1,17,8.3782
1994,1,18,5.5862
1994,1,19,5.6549
1994,1,20,6.2666
1994,1,21,7.6006
1994,1,22,8.6791
1994,1,23,6.3526
1994,1,24,6.8962
1994,1,25,5.7506
1994,1,26,6.2662
1994,1,27,6.0278
1994,1,28,5.8956
1994,1,29,7.2113
1994,1,30,7.5578
1994,1,31,7.5696
1994,2,1,7.482
1994,2,2,7.4162
1994,2,3,3.9185
1994,2,4,3.3977
1994,2,5,7.1635
1994,2,6,6.773
1994,2,7,5.7223
1994,2,8,5.0741
1994,2,9,5.5913
1994,2,10,5.6182
1994,2,11,5.1007
1994,2,12,5.017
1994,2,13,4.1522
1994,2,14,6.1951
1994,2,15,3.1517
1994,2,16,6.6703
