-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6025   longitude 62.8739 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,PS
1993,1,1,96.74
1993,1,2,96.55
1993,1,3,96.63
1993,1,4,95.61
1993,1,5,96.21
1993,1,6,96.51
1993,1,7,96.25
1993,1,8,96.72
1993,1,9,96.05
1993,1,10,95.59
1993,1,11,95.43
1993,1,12,95.16
1993,1,13,96.34
1993,1,14,96.55
1993,1,15,96.12
1993,1,16,96.71
1993,1,17,96.9
1993,1,18,96.73
1993,1,19,97.29
1993,1,20,97.11
1993,1,21,96.55
1993,1,22,96.88
1993,1,23,96.47
1993,1,24,96.54
1993,1,25,96.32
1993,1,26,96.12
1993,1,27,96.35
1993,1,28,95.88
1993,1,29,96.33
1993,1,30,96.37
1993,1,31,96.62
1993,2,1,96.57
1993,2,2,96.44
1993,2,3,97.1
1993,2,4,97.26
1993,2,5,96.48
1993,2,6,95.67
1993,2,7,95.98
1993,2,8,96.04
1993,2,9,94.87
1993,2,10,95.35
1993,2,11,95.4
1993,2,12,95.0
1993,2,13,95.12
1993,2,14,94.99
1993,2,15,95.38
1993,2,16,95.78
1993,2,17,95.46
1993,2,18,94.22
1993,2,19,93.81
1993,2,20,93.46
1993,2,21,94.4
1993,2,22,94.71
1993,2,23,94.67
1993,2,24,94.97
1993,2,25,95.2
1993,2,26,95.53
1993,2,27,95.32
1993,2,28,95.13
1993,3,1,96.0
1993,3,2,94.94
1993,3,3,95.18
1993,3,4,94.81
1993,3,5,95.17
1993,3,6,95.71
1993,3,7,95.88
1993,3,8,95.95
1993,3,9,96.47
1993,3,10,96.25
1993,3,11,95.31
1993,3,12,95.73
1993,3,13,95.17
1993,3,14,95.15
1993,3,15,95.46
1993,3,16,95.85
1993,3,17,96.0
1993,3,18,96.34
1993,3,19,96.62
1993,3,20,95.79
1993,3,21,95.81
1993,3,22,96.67
1993,3,23,95.32
1993,3,24,93.9
1993,3,25,93.8
1993,3,26,95.99
1993,3,27,97.68
1993,3,28,97.03
1993,3,29,97.05
1993,3,30,97.24
1993,3,31,97.78
1993,4,1,97.06
1993,4,2,96.08
1993,4,3,95.18
1993,4,4,95.93
1993,4,5,95.79
1993,4,6,95.51
1993,4,7,96.7
1993,4,8,94.68
1993,4,9,94.94
1993,4,10,96.0
1993,4,11,95.97
1993,4,12,96.45
1993,4,13,96.46
1993,4,14,96.14
1993,4,15,96.2
1993,4,16,96.08
1993,4,17,95.62
1993,4,18,95.22
1993,4,19,95.59
1993,4,20,94.94
1993,4,21,95.02
1993,4,22,95.16
1993,4,23,96.17
1993,4,24,96.11
1993,4,25,94.41
1993,4,26,95.06
1993,4,27,96.13
1993,4,28,96.36
1993,4,29,95.86
1993,4,30,95.78
1993,5,1,95.87
1993,5,2,95.3
1993,5,3,94.29
1993,5,4,94.63
1993,5,5,95.4
1993,5,6,95.4
1993,5,7,96.17
1993,5,8,96.54
1993,5,9,94.76
1993,5,10,95.12
1993,5,11,96.09
1993,5,12,96.24
1993,5,13,95.07
1993,5,14,95.85
1993,5,15,96.59
1993,5,16,96.93
1993,5,17,95.03
1993,5,18,94.81
1993,5,19,94.32
1993,5,20,94.14
1993,5,21,94.47
1993,5,22,94.65
1993,5,23,95.05
1993,5,24,95.9
1993,5,25,94.66
1993,5,26,95.45
1993,5,27,96.95
1993,5,28,96.47
1993,5,29,95.19
1993,5,30,95.33
1993,5,31,96.24
1993,6,1,96.57
1993,6,2,96.24
1993,6,3,95.88
1993,6,4,95.8
1993,6,5,95.62
1993,6,6,96.33
1993,6,7,96.68
1993,6,8,96.05
1993,6,9,96.54
1993,6,10,97.45
1993,6,11,97.38
1993,6,12,96.4
1993,6,13,95.52
1993,6,14,94.48
1993,6,15,94.84
1993,6,16,95.15
1993,6,17,94.64
1993,6,18,94.98
1993,6,19,95.1
1993,6,20,95.11
1993,6,21,94.94
1993,6,22,94.43
1993,6,23,94.49
1993,6,24,95.61
1993,6,25,95.21
1993,6,26,94.57
1993,6,27,93.9
1993,6,28,93.79
1993,6,29,94.28
1993,6,30,95.18
1993,7,1,94.17
1993,7,2,94.51
1993,7,3,94.25
1993,7,4,94.61
1993,7,5,94.97
1993,7,6,96.03
1993,7,7,95.01
1993,7,8,95.31
1993,7,9,95.88
1993,7,10,95.05
1993,7,11,94.92
1993,7,12,95.95
1993,7,13,96.49
1993,7,14,95.33
1993,7,15,94.39
1993,7,16,94.02
1993,7,17,94.03
1993,7,18,93.95
1993,7,19,95.04
1993,7,20,94.58
1993,7,21,94.72
1993,7,22,95.15
1993,7,23,94.83
1993,7,24,95.14
1993,7,25,95.22
1993,7,26,95.78
1993,7,27,96.81
1993,7,28,95.72
1993,7,29,95.19
1993,7,30,94.54
1993,7,31,94.44
1993,8,1,95.18
1993,8,2,95.94
1993,8,3,96.47
1993,8,4,95.97
1993,8,5,94.42
1993,8,6,94.72
1993,8,7,95.1
1993,8,8,95.85
1993,8,9,95.19
1993,8,10,94.55
1993,8,11,94.77
1993,8,12,94.29
1993,8,13,94.48
1993,8,14,95.43
1993,8,15,94.71
1993,8,16,94.28
1993,8,17,94.28
1993,8,18,94.7
1993,8,19,95.29
1993,8,20,95.54
1993,8,21,94.86
1993,8,22,94.48
1993,8,23,94.16
1993,8,24,94.19
1993,8,25,94.52
1993,8,26,94.93
1993,8,27,94.14
1993,8,28,94.9
1993,8,29,94.65
1993,8,30,94.16
1993,8,31,94.21
1993,9,1,95.5
1993,9,2,95.94
1993,9,3,95.38
1993,9,4,94.0
1993,9,5,94.11
1993,9,6,94.94
1993,9,7,95.17
1993,9,8,95.5
1993,9,9,94.87
1993,9,10,95.24
1993,9,11,96.06
1993,9,12,95.59
1993,9,13,94.74
1993,9,14,95.28
1993,9,15,96.22
1993,9,16,97.21
1993,9,17,96.67
1993,9,18,95.77
1993,9,19,95.05
1993,9,20,95.03
1993,9,21,94.91
1993,9,22,94.81
1993,9,23,93.75
1993,9,24,93.17
1993,9,25,93.69
1993,9,26,94.53
1993,9,27,95.54
1993,9,28,95.66
1993,9,29,94.47
1993,9,30,95.32
1993,10,1,95.8
1993,10,2,95.27
1993,10,3,95.26
1993,10,4,95.35
1993,10,5,96.11
1993,10,6,96.29
1993,10,7,95.29
1993,10,8,94.0
1993,10,9,94.83
1993,10,10,94.43
1993,10,11,93.43
1993,10,12,94.56
1993,10,13,96.05
1993,10,14,96.24
1993,10,15,95.08
1993,10,16,95.27
1993,10,17,95.75
1993,10,18,94.43
1993,10,19,94.15
1993,10,20,93.62
1993,10,21,93.64
1993,10,22,93.71
1993,10,23,94.82
1993,10,24,94.93
1993,10,25,94.39
1993,10,26,94.74
1993,10,27,94.56
1993,10,28,94.73
1993,10,29,95.39
1993,10,30,95.82
1993,10,31,96.34
1993,11,1,96.68
1993,11,2,96.53
1993,11,3,96.25
1993,11,4,95.95
1993,11,5,96.01
1993,11,6,95.96
1993,11,7,95.58
1993,11,8,95.12
1993,11,9,94.86
1993,11,10,94.7
1993,11,11,95.2
1993,11,12,95.03
1993,11,13,94.4
1993,11,14,94.29
1993,11,15,95.3
1993,11,16,95.31
1993,11,17,95.43
1993,11,18,95.64
1993,11,19,95.9
1993,11,20,94.93
1993,11,21,95.04
1993,11,22,96.22
1993,11,23,96.1
1993,11,24,94.72
1993,11,25,95.2
1993,11,26,95.42
1993,11,27,95.06
1993,11,28,95.08
1993,11,29,95.24
1993,11,30,95.6
1993,12,1,95.94
1993,12,2,95.93
1993,12,3,95.55
1993,12,4,95.55
1993,12,5,95.99
1993,12,6,96.61
1993,12,7,96.92
1993,12,8,96.71
1993,12,9,96.29
1993,12,10,96.16
1993,12,11,95.86
1993,12,12,96.13
1993,12,13,95.43
1993,12,14,95.25
1993,12,15,95.46
1993,12,16,95.0
1993,12,17,94.57
1993,12,18,95.09
1993,12,19,96.08
1993,12,20,95.83
1993,12,21,95.56
1993,12,22,95.58
1993,12,23,95.96
1993,12,24,94.74
1993,12,25,93.39
1993,12,26,94.74
1993,12,27,95.3
1993,12,28,94.71
1993,12,29,96.21
1993,12,30,95.38
1993,12,31,95.67
1994,1,1,94.92
1994,1,2,94.93
1994,1,3,95.49
1994,1,4,94.73
1994,1,5,95.3
1994,1,6,96.06
1994,1,7,96.31
1994,1,8,95.78
1994,1,9,96.05
1994,1,10,96.27
1994,1,11,96.25
1994,1,12,96.11
1994,1,13,96.17
1994,1,14,96.2
1994,1,15,95.33
1994,1,16,95.82
1994,1,17,95.47
1994,1,18,95.6
1994,1,19,95.88
1994,1,20,95.38
1994,1,21,95.42
1994,1,22,96.18
1994,1,23,96.02
1994,1,24,95.72
1994,1,25,96.19
1994,1,26,95.96
1994,1,27,95.13
1994,1,28,95.24
1994,1,29,96.33
1994,1,30,95.93
1994,1,31,95.48
1994,2,1,95.44
1994,2,2,96.16
1994,2,3,95.89
1994,2,4,95.89
1994,2,5,95.83
1994,2,6,95.27
1994,2,7,95.96
1994,2,8,94.89
1994,2,9,94.18
1994,2,10,94.84
1994,2,11,95.61
1994,2,12,94.88
1994,2,13,94.99
1994,2,14,95.08
1994,2,15,94.93
1994,2,16,95.49
1994,2,17,95.4
1994,2,18,94.51
1994,2,19,94.29
1994,2,20,94.95
1994,2,21,95.44
1994,2,22,96.36
1994,2,23,96.34
1994,2,24,95.69
1994,2,25,95.65
1994,2,26,96.27
1994,2,27,95.69
1994,2,28,95.48
1994,3,1,95.62
1994,3,2,95.18
1994,3,3,94.4
1994,3,4,95.01
1994,3,5,94.98
1994,3,6,94.85
