-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6025   longitude 62.8739 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN
1993,1,1,-1.87,-7.68
1993,1,2,-1.53,-7.19
1993,1,3,-1.5,-6.61
1993,1,4,-1.35,-7.93
1993,1,5,-1.78,-7.6
1993,1,6,-2.32,-7.6
1993,1,7,-1.68,-8.21
1993,1,8,-1.86,-5.89
1993,1,9,2.55,-4.34
1993,1,10,-0.01,-1.6
1993,1,11,1.12,-5.04
1993,1,12,-0.84,-5.58
1993,1,13,-0.84,-5.06
1993,1,14,-1.11,-3.81
1993,1,15,-1.18,-3.57
1993,1,16,-0.96,-2.87
1993,1,17,0.56,-4.84
1993,1,18,-1.48,-6.0
1993,1,19,-1.15,-6.03
1993,1,20,-0.13,-5.33
1993,1,21,-0.24,-5.18
1993,1,22,-0.94,-4.63
1993,1,23,-0.63,-3.94
1993,1,24,0.22,-4.8
1993,1,25,-1.14,-6.44
1993,1,26,-2.16,-8.02
1993,1,27,-0.34,-8.13
1993,1,28,-1.25,-5.75
1993,1,29,-1.68,-6.95
1993,1,30,-3.16,-7.91
1993,1,31,-1.23,-5.88
1993,2,1,-4.24,-9.29
1993,2,2,-4.03,-11.12
1993,2,3,-3.83,-9.55
1993,2,4,-3.46,-8.51
1993,2,5,-3.29,-8.71
1993,2,6,-4.48,-7.61
1993,2,7,-2.46,-7.57
1993,2,8,-4.21,-7.61
1993,2,9,-1.94,-8.07
1993,2,10,-4.03,-8.94
1993,2,11,-6.9,-10.47
1993,2,12,-3.83,-9.88
1993,2,13,-5.53,-9.99
1993,2,14,-5.84,-10.48
1993,2,15,-6.44,-10.67
1993,2,16,-6.16,-10.6
1993,2,17,-5.91,-10.6
1993,2,18,-4.67,-8.66
1993,2,19,-4.54,-10.07
1993,2,20,-7.99,-12.1
1993,2,21,-4.44,-10.71
1993,2,22,-3.55,-9.29
1993,2,23,-4.63,-6.4
1993,2,24,-5.65,-9.9
1993,2,25,-6.81,-10.67
1993,2,26,-7.71,-11.16
1993,2,27,-5.05,-10.92
1993,2,28,-3.52,-9.15
1993,3,1,-7.84,-10.58
1993,3,2,-6.57,-10.27
1993,3,3,-6.73,-11.76
1993,3,4,-8.12,-11.87
1993,3,5,-9.55,-13.38
1993,3,6,-8.58,-13.49
1993,3,7,-9.44,-13.31
1993,3,8,-9.63,-13.1
