-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8736 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M
1993,1,1,-4.46
1993,1,2,-4.22
1993,1,3,-3.71
1993,1,4,-4.47
1993,1,5,-4.41
1993,1,6,-4.94
1993,1,7,-4.4
1993,1,8,-3.49
1993,1,9,-0.43
1993,1,10,-0.58
1993,1,11,-0.98
1993,1,12,-3.22
1993,1,13,-2.51
1993,1,14,-2.33
1993,1,15,-2.31
1993,1,16,-2.11
1993,1,17,-1.5
1993,1,18,-3.83
1993,1,19,-3.35
1993,1,20,-2.7
1993,1,21,-2.21
1993,1,22,-2.58
1993,1,23,-1.97
1993,1,24,-2.2
1993,1,25,-3.51
1993,1,26,-5.11
1993,1,27,-3.42
1993,1,28,-3.48
1993,1,29,-4.54
1993,1,30,-5.21
1993,1,31,-3.44
1993,2,1,-6.1
1993,2,2,-7.57
1993,2,3,-6.64
1993,2,4,-6.06
1993,2,5,-6.03
1993,2,6,-5.95
1993,2,7,-5.1
1993,2,8,-6.02
1993,2,9,-4.48
1993,2,10,-6.46
1993,2,11,-8.48
1993,2,12,-6.57
1993,2,13,-8.0
1993,2,14,-8.38
1993,2,15,-8.67
1993,2,16,-8.34
1993,2,17,-8.18
1993,2,18,-6.58
1993,2,19,-6.92
1993,2,20,-10.0
1993,2,21,-7.29
1993,2,22,-5.3
1993,2,23,-5.15
1993,2,24,-6.86
1993,2,25,-9.01
1993,2,26,-9.64
1993,2,27,-7.68
1993,2,28,-5.92
1993,3,1,-9.35
1993,3,2,-8.09
1993,3,3,-8.34
1993,3,4,-10.28
1993,3,5,-11.04
1993,3,6,-10.97
1993,3,7,-11.44
1993,3,8,-11.73
1993,3,9,-11.12
1993,3,10,-8.7
1993,3,11,-8.7
1993,3,12,-9.93
1993,3,13,-11.69
1993,3,14,-13.44
1993,3,15,-16.26
1993,3,16,-18.15
1993,3,17,-18.41
1993,3,18,-17.4
1993,3,19,-17.23
1993,3,20,-19.12
1993,3,21,-22.11
1993,3,22,-20.04
1993,3,23,-17.54
1993,3,24,-18.84
1993,3,25,-16.34
1993,3,26,-10.23
1993,3,27,-10.69
1993,3,28,-11.52
1993,3,29,-11.43
1993,3,30,-13.19
1993,3,31,-14.0
1993,4,1,-11.93
1993,4,2,-15.46
1993,4,3,-21.55
1993,4,4,-21.72
1993,4,5,-18.16
1993,4,6,-12.61
1993,4,7,-10.73
1993,4,8,-12.82
1993,4,9,-12.41
1993,4,10,-15.85
1993,4,11,-16.22
1993,4,12,-19.97
1993,4,13,-22.8
1993,4,14,-22.91
1993,4,15,-17.67
1993,4,16,-18.75
1993,4,17,-17.88
1993,4,18,-18.28
1993,4,19,-21.43
1993,4,20,-23.68
1993,4,21,-22.69
1993,4,22,-24.04
