-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8736 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,WD50M
1993,1,1,134.3
1993,1,2,138.7
1993,1,3,127.2
1993,1,4,148.1
1993,1,5,133.3
1993,1,6,128.9
1993,1,7,120.8
1993,1,8,103.8
1993,1,9,127.8
1993,1,10,122.8
1993,1,11,137.5
1993,1,12,128.6
1993,1,13,123.9
1993,1,14,106.1
1993,1,15,109.2
1993,1,16,116.5
1993,1,17,124.1
1993,1,18,120.9
1993,1,19,112.3
1993,1,20,130.8
1993,1,21,123.3
1993,1,22,119.9
1993,1,23,124.7
1993,1,24,129.8
1993,1,25,135.0
1993,1,26,134.9
1993,1,27,129.6
1993,1,28,129.5
1993,1,29,151.0
1993,1,30,124.8
1993,1,31,132.8
1993,2,1,140.3
1993,2,2,138.1
1993,2,3,142.6
1993,2,4,171.3
1993,2,5,155.8
1993,2,6,140.3
1993,2,7,157.4
1993,2,8,113.7
1993,2,9,153.0
1993,2,10,136.5
1993,2,11,126.5
1993,2,12,145.2
1993,2,13,149.7
1993,2,14,144.4
1993,2,15,142.1
1993,2,16,146.0
1993,2,17,128.8
1993,2,18,139.0
1993,2,19,166.5
1993,2,20,141.8
1993,2,21,132.7
1993,2,22,117.1
1993,2,23,124.8
1993,2,24,147.8
1993,2,25,143.5
1993,2,26,145.8
1993,2,27,138.4
1993,2,28,146.6
1993,3,1,140.3
1993,3,2,113.3
1993,3,3,123.9
1993,3,4,139.3
1993,3,5,131.2
1993,3,6,142.9
1993,3,7,148.8
1993,3,8,148.5
1993,3,9,129.0
1993,3,10,112.5
1993,3,11,140.7
1993,3,12,118.1
1993,3,13,121.6
1993,3,14,141.1
1993,3,15,145.8
1993,3,16,145.5
1993,3,17,152.2
1993,3,18,152.6
1993,3,19,164.7
1993,3,20,149.6
1993,3,21,153.2
1993,3,22,149.0
1993,3,23,138.0
1993,3,24,158.9
1993,3,25,126.4
1993,3,26,123.7
1993,3,27,155.8
1993,3,28,115.4
1993,3,29,132.5
1993,3,30,129.8
1993,3,31,162.3
1993,4,1,152.9
1993,4,2,143.4
1993,4,3,152.5
1993,4,4,161.0
1993,4,5,148.9
1993,4,6,129.0
1993,4,7,119.4
1993,4,8,123.4
1993,4,9,147.2
1993,4,10,131.4
1993,4,11,138.5
1993,4,12,148.4
1993,4,13,147.6
1993,4,14,157.0
1993,4,15,152.7
1993,4,16,155.3
1993,4,17,119.5
1993,4,18,144.0
1993,4,19,151.8
1993,4,20,131.6
1993,4,21,107.1
1993,4,22,154.3
1993,4,23,133.2
1993,4,24,129.7
1993,4,25,137.0
1993,4,26,155.2
1993,4,27,142.1
1993,4,28,144.5
1993,4,29,136.4
1993,4,30,141.9
1993,5,1,136.8
1993,5,2,132.4
1993,5,3,140.9
1993,5,4,141.9
1993,5,5,139.1
1993,5,6,147.4
1993,5,7,173.6
1993,5,8,124.9
1993,5,9,127.4
1993,5,10,157.2
1993,5,11,150.8
1993,5,12,153.8
1993,5,13,136.5
1993,5,14,144.3
1993,5,15,130.4
1993,5,16,111.3
1993,5,17,132.6
1993,5,18,156.4
1993,5,19,126.7
1993,5,20,138.8
1993,5,21,131.9
1993,5,22,120.2
1993,5,23,125.0
1993,5,24,159.2
1993,5,25,139.9
1993,5,26,157.1
1993,5,27,146.2
1993,5,28,123.8
1993,5,29,134.1
1993,5,30,137.5
1993,5,31,133.4
1993,6,1,131.9
1993,6,2,135.0
1993,6,3,131.7
1993,6,4,128.5
1993,6,5,132.4
1993,6,6,135.1
1993,6,7,130.6
1993,6,8,132.1
1993,6,9,136.1
1993,6,10,142.4
1993,6,11,151.6
1993,6,12,160.4
1993,6,13,109.7
1993,6,14,161.8
1993,6,15,146.0
1993,6,16,147.7
1993,6,17,104.5
1993,6,18,84.5
1993,6,19,102.5
1993,6,20,136.5
1993,6,21,147.2
1993,6,22,147.9
1993,6,23,149.1
1993,6,24,133.4
1993,6,25,149.8
1993,6,26,128.6
1993,6,27,133.4
1993,6,28,149.3
1993,6,29,148.6
1993,6,30,124.8
1993,7,1,116.8
1993,7,2,125.1
1993,7,3,137.8
1993,7,4,148.3
1993,7,5,145.8
1993,7,6,153.3
1993,7,7,173.8
1993,7,8,101.6
1993,7,9,132.1
1993,7,10,133.4
1993,7,11,161.8
1993,7,12,130.7
1993,7,13,181.2
1993,7,14,111.6
1993,7,15,131.6
1993,7,16,269.9
1993,7,17,127.0
1993,7,18,129.1
1993,7,19,134.5
1993,7,20,96.4
1993,7,21,151.7
1993,7,22,117.4
1993,7,23,122.8
1993,7,24,133.8
1993,7,25,114.9
1993,7,26,134.6
1993,7,27,153.5
1993,7,28,128.0
1993,7,29,122.3
1993,7,30,145.6
1993,7,31,129.2
1993,8,1,162.2
1993,8,2,114.6
1993,8,3,117.3
1993,8,4,112.3
1993,8,5,110.8
1993,8,6,120.6
1993,8,7,125.5
1993,8,8,161.7
1993,8,9,204.3
1993,8,10,126.6
1993,8,11,136.7
1993,8,12,155.1
1993,8,13,167.8
1993,8,14,136.5
1993,8,15,117.2
1993,8,16,123.1
1993,8,17,130.6
1993,8,18,140.4
1993,8,19,100.4
1993,8,20,143.9
1993,8,21,152.2
1993,8,22,149.6
1993,8,23,152.8
1993,8,24,132.3
1993,8,25,121.6
1993,8,26,155.3
1993,8,27,114.5
1993,8,28,140.3
1993,8,29,139.3
1993,8,30,149.3
1993,8,31,145.7
1993,9,1,146.9
1993,9,2,116.8
1993,9,3,159.8
1993,9,4,162.1
1993,9,5,134.5
1993,9,6,142.5
1993,9,7,131.3
1993,9,8,129.7
1993,9,9,132.8
1993,9,10,144.1
1993,9,11,153.5
1993,9,12,119.7
1993,9,13,135.1
1993,9,14,122.6
1993,9,15,143.6
1993,9,16,128.0
1993,9,17,136.6
1993,9,18,169.4
1993,9,19,96.4
1993,9,20,122.2
1993,9,21,142.9
1993,9,22,154.6
1993,9,23,145.7
1993,9,24,142.9
1993,9,25,130.4
1993,9,26,151.3
1993,9,27,146.4
1993,9,28,131.3
1993,9,29,120.9
1993,9,30,118.4
1993,10,1,141.8
1993,10,2,139.0
1993,10,3,145.9
1993,10,4,132.5
1993,10,5,152.7
1993,10,6,121.8
1993,10,7,138.4
1993,10,8,141.2
1993,10,9,112.9
1993,10,10,119.7
1993,10,11,133.4
1993,10,12,149.8
1993,10,13,129.4
1993,10,14,152.0
1993,10,15,149.0
1993,10,16,150.3
1993,10,17,106.2
1993,10,18,104.3
1993,10,19,104.5
1993,10,20,129.0
1993,10,21,141.2
1993,10,22,127.5
1993,10,23,152.8
1993,10,24,160.5
1993,10,25,129.8
1993,10,26,128.7
1993,10,27,135.9
1993,10,28,142.4
1993,10,29,137.7
1993,10,30,133.8
1993,10,31,128.9
1993,11,1,107.0
1993,11,2,111.0
1993,11,3,124.4
1993,11,4,129.1
1993,11,5,113.5
1993,11,6,117.5
1993,11,7,148.5
1993,11,8,135.6
1993,11,9,125.2
1993,11,10,129.0
1993,11,11,125.5
1993,11,12,138.7
1993,11,13,141.8
1993,11,14,128.6
1993,11,15,113.7
1993,11,16,134.9
1993,11,17,146.0
1993,11,18,133.4
1993,11,19,121.2
1993,11,20,123.9
1993,11,21,131.4
1993,11,22,140.7
1993,11,23,126.8
1993,11,24,124.4
1993,11,25,129.5
1993,11,26,138.4
1993,11,27,142.4
1993,11,28,116.3
1993,11,29,133.5
1993,11,30,158.0
1993,12,1,135.1
1993,12,2,126.6
1993,12,3,132.7
1993,12,4,148.3
1993,12,5,144.1
1993,12,6,140.2
1993,12,7,129.0
1993,12,8,111.9
1993,12,9,116.7
1993,12,10,114.5
1993,12,11,148.9
1993,12,12,136.9
1993,12,13,221.8
1993,12,14,141.9
1993,12,15,131.5
1993,12,16,126.5
1993,12,17,127.3
1993,12,18,130.3
1993,12,19,123.6
1993,12,20,117.6
1993,12,21,104.3
1993,12,22,113.0
1993,12,23,118.0
1993,12,24,123.6
1993,12,25,138.7
1993,12,26,113.2
1993,12,27,143.9
1993,12,28,137.7
1993,12,29,101.6
1993,12,30,247.4
1993,12,31,104.2
1994,1,1,129.9
1994,1,2,123.0
1994,1,3,119.6
1994,1,4,121.5
1994,1,5,115.5
1994,1,6,100.3
1994,1,7,106.4
1994,1,8,107.2
1994,1,9,104.8
1994,1,10,103.9
1994,1,11,105.7
1994,1,12,104.2
1994,1,13,103.6
1994,1,14,190.5
1994,1,15,122.4
1994,1,16,137.3
1994,1,17,151.0
1994,1,18,128.3
1994,1,19,111.8
1994,1,20,109.1
1994,1,21,126.5
1994,1,22,122.5
1994,1,23,104.3
1994,1,24,109.0
1994,1,25,105.8
1994,1,26,125.8
1994,1,27,128.3
1994,1,28,130.0
1994,1,29,153.7
1994,1,30,138.7
1994,1,31,140.3
1994,2,1,153.0
1994,2,2,156.1
