-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8736 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,WS50M
1993,1,1,6.66
1993,1,2,8.89
1993,1,3,7.02
1993,1,4,7.02
1993,1,5,8.68
1993,1,6,6.8
1993,1,7,4.69
1993,1,8,6.25
1993,1,9,16.45
1993,1,10,23.92
1993,1,11,10.69
1993,1,12,17.07
1993,1,13,15.53
1993,1,14,9.61
1993,1,15,15.04
1993,1,16,19.14
1993,1,17,9.65
1993,1,18,9.47
1993,1,19,11.13
1993,1,20,8.11
1993,1,21,9.03
1993,1,22,13.97
1993,1,23,11.72
1993,1,24,10.22
1993,1,25,6.34
1993,1,26,9.78
1993,1,27,9.4
1993,1,28,6.81
1993,1,29,8.36
1993,1,30,8.87
1993,1,31,9.79
1993,2,1,8.22
1993,2,2,7.58
1993,2,3,6.67
1993,2,4,6.04
1993,2,5,8.5
1993,2,6,11.28
1993,2,7,7.79
1993,2,8,12.85
1993,2,9,13.37
1993,2,10,9.17
1993,2,11,10.18
1993,2,12,12.44
1993,2,13,8.79
1993,2,14,6.56
1993,2,15,6.53
1993,2,16,6.76
1993,2,17,12.67
1993,2,18,20.06
1993,2,19,6.2
1993,2,20,8.63
1993,2,21,9.88
1993,2,22,9.82
1993,2,23,15.31
1993,2,24,6.21
1993,2,25,5.03
1993,2,26,6.93
1993,2,27,7.93
1993,2,28,8.91
1993,3,1,9.84
1993,3,2,13.81
1993,3,3,8.41
1993,3,4,7.78
1993,3,5,11.83
1993,3,6,9.66
1993,3,7,7.9
1993,3,8,8.01
1993,3,9,9.29
1993,3,10,15.6
1993,3,11,10.9
1993,3,12,6.33
1993,3,13,15.6
1993,3,14,11.51
1993,3,15,6.98
1993,3,16,6.34
1993,3,17,10.16
1993,3,18,7.4
1993,3,19,9.46
1993,3,20,9.08
1993,3,21,9.45
1993,3,22,8.39
1993,3,23,14.14
1993,3,24,8.73
1993,3,25,4.74
1993,3,26,9.86
1993,3,27,9.63
1993,3,28,11.4
1993,3,29,8.05
1993,3,30,6.44
1993,3,31,7.17
1993,4,1,7.76
1993,4,2,11.47
1993,4,3,9.59
1993,4,4,7.69
1993,4,5,11.95
1993,4,6,19.14
1993,4,7,11.66
1993,4,8,23.22
1993,4,9,13.28
1993,4,10,12.11
1993,4,11,10.13
1993,4,12,7.11
1993,4,13,9.33
1993,4,14,9.06
1993,4,15,9.02
1993,4,16,8.59
1993,4,17,11.47
1993,4,18,10.36
1993,4,19,6.66
1993,4,20,10.08
1993,4,21,6.92
1993,4,22,8.47
1993,4,23,8.99
1993,4,24,11.02
1993,4,25,15.86
1993,4,26,10.19
1993,4,27,10.72
1993,4,28,11.02
1993,4,29,11.87
1993,4,30,10.34
1993,5,1,9.67
1993,5,2,11.13
1993,5,3,11.04
1993,5,4,10.89
1993,5,5,10.84
1993,5,6,7.89
1993,5,7,10.14
1993,5,8,12.35
1993,5,9,20.09
1993,5,10,7.5
1993,5,11,8.54
1993,5,12,8.21
1993,5,13,11.54
1993,5,14,8.69
1993,5,15,10.61
1993,5,16,10.24
1993,5,17,17.76
1993,5,18,9.28
1993,5,19,16.62
1993,5,20,12.37
1993,5,21,8.28
1993,5,22,5.28
1993,5,23,10.98
1993,5,24,7.88
1993,5,25,10.69
1993,5,26,10.86
1993,5,27,11.76
1993,5,28,13.7
1993,5,29,20.02
1993,5,30,7.96
1993,5,31,6.78
1993,6,1,13.02
1993,6,2,10.64
1993,6,3,10.82
1993,6,4,14.83
1993,6,5,10.79
1993,6,6,5.87
1993,6,7,15.41
1993,6,8,19.45
1993,6,9,15.69
1993,6,10,10.4
1993,6,11,9.39
1993,6,12,8.18
1993,6,13,4.34
1993,6,14,3.08
1993,6,15,5.0
1993,6,16,7.57
1993,6,17,15.26
1993,6,18,5.21
1993,6,19,7.13
1993,6,20,7.31
1993,6,21,9.82
1993,6,22,11.25
1993,6,23,10.92
1993,6,24,10.37
1993,6,25,8.6
1993,6,26,8.13
1993,6,27,10.79
1993,6,28,10.96
1993,6,29,9.49
1993,6,30,19.36
1993,7,1,29.47
1993,7,2,18.56
1993,7,3,11.79
1993,7,4,10.64
1993,7,5,11.52
1993,7,6,6.48
1993,7,7,9.28
1993,7,8,6.88
1993,7,9,4.05
1993,7,10,10.01
1993,7,11,4.41
1993,7,12,7.44
1993,7,13,2.9
1993,7,14,14.32
1993,7,15,7.5
1993,7,16,5.08
1993,7,17,6.94
1993,7,18,7.33
1993,7,19,2.79
1993,7,20,9.4
1993,7,21,7.94
1993,7,22,6.92
1993,7,23,9.74
1993,7,24,1.66
1993,7,25,5.43
1993,7,26,7.77
1993,7,27,7.1
1993,7,28,11.99
1993,7,29,12.29
1993,7,30,7.63
1993,7,31,7.71
1993,8,1,12.8
1993,8,2,11.07
1993,8,3,6.89
1993,8,4,12.73
1993,8,5,11.18
1993,8,6,9.42
1993,8,7,9.98
1993,8,8,5.12
1993,8,9,5.28
1993,8,10,10.67
1993,8,11,6.39
1993,8,12,8.55
1993,8,13,9.32
1993,8,14,10.96
1993,8,15,17.07
1993,8,16,15.21
1993,8,17,11.23
1993,8,18,8.21
1993,8,19,5.4
1993,8,20,6.41
1993,8,21,6.89
1993,8,22,9.4
1993,8,23,9.32
1993,8,24,5.46
1993,8,25,7.53
1993,8,26,5.87
1993,8,27,10.31
1993,8,28,9.06
1993,8,29,11.17
1993,8,30,9.18
1993,8,31,8.63
1993,9,1,7.65
1993,9,2,7.22
1993,9,3,4.0
1993,9,4,7.97
1993,9,5,9.23
1993,9,6,8.09
1993,9,7,8.27
1993,9,8,9.27
1993,9,9,13.03
1993,9,10,7.06
1993,9,11,8.82
1993,9,12,16.04
1993,9,13,15.39
1993,9,14,5.9
1993,9,15,10.6
1993,9,16,12.78
1993,9,17,13.7
1993,9,18,7.01
1993,9,19,4.7
1993,9,20,9.99
1993,9,21,9.22
1993,9,22,8.46
1993,9,23,8.19
1993,9,24,8.23
1993,9,25,9.9
1993,9,26,6.14
1993,9,27,9.03
1993,9,28,10.74
1993,9,29,16.87
1993,9,30,13.68
1993,10,1,10.25
1993,10,2,7.98
1993,10,3,8.56
1993,10,4,8.41
1993,10,5,8.69
1993,10,6,6.26
1993,10,7,6.7
1993,10,8,8.62
1993,10,9,10.28
1993,10,10,15.03
1993,10,11,8.7
1993,10,12,8.38
1993,10,13,10.56
1993,10,14,7.06
1993,10,15,7.82
1993,10,16,5.01
1993,10,17,11.1
1993,10,18,12.14
1993,10,19,5.39
1993,10,20,16.36
1993,10,21,9.38
1993,10,22,8.54
1993,10,23,7.8
1993,10,24,12.28
1993,10,25,11.06
1993,10,26,7.23
1993,10,27,8.3
1993,10,28,8.64
1993,10,29,9.17
1993,10,30,8.25
1993,10,31,7.75
1993,11,1,6.52
1993,11,2,5.95
1993,11,3,5.99
1993,11,4,7.69
1993,11,5,8.09
1993,11,6,7.35
1993,11,7,8.49
1993,11,8,8.86
1993,11,9,7.24
1993,11,10,8.06
1993,11,11,8.07
1993,11,12,8.61
1993,11,13,7.78
1993,11,14,6.66
1993,11,15,8.82
1993,11,16,10.04
1993,11,17,6.42
1993,11,18,6.28
1993,11,19,10.54
1993,11,20,14.98
1993,11,21,14.1
1993,11,22,9.31
1993,11,23,10.59
1993,11,24,16.73
1993,11,25,10.33
1993,11,26,6.58
1993,11,27,4.79
1993,11,28,12.52
1993,11,29,9.98
1993,11,30,6.61
1993,12,1,9.74
1993,12,2,9.08
1993,12,3,8.07
1993,12,4,5.27
1993,12,5,7.48
1993,12,6,9.97
1993,12,7,9.19
1993,12,8,17.0
1993,12,9,16.22
1993,12,10,13.31
1993,12,11,5.24
1993,12,12,8.88
1993,12,13,4.83
1993,12,14,10.4
1993,12,15,7.47
1993,12,16,13.05
1993,12,17,14.62
1993,12,18,10.44
1993,12,19,12.1
1993,12,20,8.6
1993,12,21,9.56
1993,12,22,17.05
1993,12,23,15.43
1993,12,24,10.62
1993,12,25,6.21
1993,12,26,8.8
1993,12,27,6.42
1993,12,28,4.29
1993,12,29,8.52
1993,12,30,7.81
1993,12,31,9.49
1994,1,1,23.01
1994,1,2,14.46
1994,1,3,16.55
1994,1,4,28.63
1994,1,5,20.88
1994,1,6,13.09
1994,1,7,14.81
1994,1,8,11.93
1994,1,9,9.1
1994,1,10,4.89
1994,1,11,5.67
1994,1,12,2.86
1994,1,13,4.84
1994,1,14,2.85
1994,1,15,12.02
1994,1,16,8.53
1994,1,17,6.99
1994,1,18,7.38
1994,1,19,10.17
1994,1,20,12.42
1994,1,21,7.01
1994,1,22,8.1
1994,1,23,9.56
1994,1,24,4.55
1994,1,25,7.68
1994,1,26,7.86
1994,1,27,5.7
1994,1,28,5.32
1994,1,29,4.18
1994,1,30,8.39
1994,1,31,5.29
1994,2,1,5.8
1994,2,2,7.43
1994,2,3,18.22
1994,2,4,12.83
1994,2,5,7.35
1994,2,6,10.47
1994,2,7,9.71
1994,2,8,18.13
1994,2,9,15.87
