-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8734 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN     MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX,WS10M_MIN
1993,1,1,10.72,1.17
1993,1,2,9.98,4.29
1993,1,3,9.08,0.09
1993,1,4,9.39,1.43
1993,1,5,9.97,2.75
1993,1,6,8.8,2.3
1993,1,7,5.84,1.39
1993,1,8,7.27,3.32
1993,1,9,22.77,7.75
1993,1,10,25.3,8.76
1993,1,11,10.51,5.69
1993,1,12,16.61,10.82
1993,1,13,15.36,8.98
1993,1,14,9.42,7.17
1993,1,15,16.42,9.31
1993,1,16,16.54,15.28
1993,1,17,14.9,2.06
1993,1,18,9.03,5.99
1993,1,19,10.39,8.45
1993,1,20,10.07,1.87
1993,1,21,10.04,5.16
1993,1,22,12.58,10.65
1993,1,23,11.34,8.33
1993,1,24,10.93,4.46
1993,1,25,8.47,0.28
1993,1,26,9.57,5.22
1993,1,27,10.15,3.39
1993,1,28,9.45,2.34
1993,1,29,11.32,1.98
1993,1,30,12.65,4.66
1993,1,31,14.01,0.64
1993,2,1,8.62,5.52
1993,2,2,8.65,3.11
1993,2,3,9.17,1.71
1993,2,4,8.4,2.13
1993,2,5,10.73,4.64
1993,2,6,12.55,7.04
1993,2,7,12.99,1.17
1993,2,8,19.65,3.33
1993,2,9,20.04,5.1
1993,2,10,9.13,5.7
1993,2,11,12.81,7.0
1993,2,12,13.63,7.67
1993,2,13,10.58,4.33
1993,2,14,8.37,1.76
1993,2,15,8.18,3.09
1993,2,16,8.77,2.65
1993,2,17,17.4,8.84
1993,2,18,20.57,11.36
1993,2,19,11.31,1.32
1993,2,20,10.42,5.83
1993,2,21,11.05,6.61
1993,2,22,10.99,4.8
1993,2,23,17.02,10.28
1993,2,24,9.84,1.9
1993,2,25,7.44,1.14
1993,2,26,8.34,3.49
1993,2,27,8.66,2.05
1993,2,28,10.01,3.94
1993,3,1,11.22,6.75
1993,3,2,12.78,11.15
1993,3,3,11.3,2.7
1993,3,4,8.99,5.22
1993,3,5,11.86,8.86
1993,3,6,11.97,4.39
1993,3,7,8.47,4.72
1993,3,8,8.75,5.35
1993,3,9,12.78,6.4
1993,3,10,16.66,12.24
1993,3,11,16.43,4.74
1993,3,12,10.9,3.63
1993,3,13,15.01,11.63
1993,3,14,12.98,7.35
1993,3,15,9.23,4.25
1993,3,16,8.84,3.59
1993,3,17,10.02,7.6
1993,3,18,8.98,4.51
1993,3,19,9.82,5.9
1993,3,20,9.4,4.33
1993,3,21,8.65,7.73
1993,3,22,10.7,5.19
1993,3,23,14.21,10.61
1993,3,24,10.0,4.7
1993,3,25,6.56,0.8
1993,3,26,9.57,5.07
1993,3,27,9.53,5.64
1993,3,28,11.15,6.17
1993,3,29,10.25,3.7
1993,3,30,8.16,2.54
1993,3,31,8.25,2.6
1993,4,1,8.27,1.49
1993,4,2,12.37,6.82
1993,4,3,11.03,4.1
1993,4,4,8.09,3.9
1993,4,5,15.31,7.4
1993,4,6,17.76,15.41
1993,4,7,15.31,6.49
1993,4,8,24.47,11.59
1993,4,9,20.47,4.02
1993,4,10,13.44,7.96
1993,4,11,13.43,6.74
1993,4,12,7.55,3.54
1993,4,13,12.56,5.11
1993,4,14,10.15,3.73
1993,4,15,8.49,5.15
1993,4,16,8.92,5.23
1993,4,17,12.22,6.38
1993,4,18,10.17,6.53
1993,4,19,7.58,0.56
1993,4,20,11.84,4.53
1993,4,21,9.68,2.29
1993,4,22,9.27,4.14
1993,4,23,8.81,4.16
1993,4,24,11.3,6.62
1993,4,25,17.62,8.72
1993,4,26,14.37,3.1
1993,4,27,12.42,5.12
1993,4,28,12.01,7.03
1993,4,29,10.59,8.35
1993,4,30,10.39,7.35
1993,5,1,9.84,4.85
1993,5,2,11.82,6.23
1993,5,3,11.27,5.49
1993,5,4,9.97,7.91
1993,5,5,10.06,5.87
1993,5,6,9.82,4.04
1993,5,7,10.92,5.15
1993,5,8,16.72,5.59
1993,5,9,20.88,11.7
1993,5,10,10.83,2.52
1993,5,11,9.56,4.21
1993,5,12,8.4,3.98
1993,5,13,12.21,4.22
1993,5,14,13.28,3.03
1993,5,15,15.17,2.31
1993,5,16,15.34,3.06
1993,5,17,18.62,8.38
1993,5,18,11.12,3.86
1993,5,19,18.78,10.62
1993,5,20,19.01,0.82
1993,5,21,8.14,3.86
1993,5,22,9.58,0.49
1993,5,23,11.06,6.06
1993,5,24,9.18,2.86
1993,5,25,12.63,4.23
1993,5,26,12.18,5.83
1993,5,27,10.83,7.38
1993,5,28,18.17,7.42
1993,5,29,20.62,4.74
1993,5,30,7.65,2.02
1993,5,31,8.46,2.74
1993,6,1,13.82,6.22
1993,6,2,11.45,6.44
1993,6,3,13.51,4.66
1993,6,4,14.76,11.07
1993,6,5,15.05,3.2
1993,6,6,9.24,1.07
1993,6,7,17.24,10.1
1993,6,8,18.48,14.38
1993,6,9,17.58,9.43
1993,6,10,9.87,6.58
1993,6,11,9.08,4.97
1993,6,12,9.51,3.5
1993,6,13,6.52,0.64
1993,6,14,4.81,0.82
1993,6,15,5.63,0.35
1993,6,16,10.87,2.7
1993,6,17,14.92,6.66
1993,6,18,6.85,1.08
1993,6,19,9.54,1.83
1993,6,20,11.79,2.72
1993,6,21,11.69,4.58
1993,6,22,10.9,7.08
1993,6,23,11.97,6.84
1993,6,24,12.74,0.86
1993,6,25,10.28,3.93
1993,6,26,7.35,3.51
1993,6,27,9.9,7.81
1993,6,28,10.56,7.72
1993,6,29,10.14,3.9
1993,6,30,26.91,10.03
1993,7,1,28.42,21.98
1993,7,2,21.68,12.84
1993,7,3,12.82,5.32
1993,7,4,12.25,4.36
1993,7,5,12.65,6.51
1993,7,6,7.99,1.53
1993,7,7,9.06,4.15
1993,7,8,7.34,2.55
1993,7,9,5.72,0.89
1993,7,10,12.03,1.22
1993,7,11,8.01,0.89
1993,7,12,8.13,3.74
1993,7,13,4.47,1.0
1993,7,14,17.44,4.49
1993,7,15,12.07,2.07
1993,7,16,6.25,1.85
1993,7,17,7.74,3.16
1993,7,18,6.68,3.9
1993,7,19,5.43,0.34
1993,7,20,13.45,1.91
1993,7,21,7.71,3.05
1993,7,22,7.24,3.23
1993,7,23,9.64,3.53
1993,7,24,3.13,0.44
1993,7,25,5.54,1.9
1993,7,26,9.09,2.87
1993,7,27,7.35,3.86
1993,7,28,12.45,7.01
1993,7,29,11.07,9.28
1993,7,30,9.07,2.63
1993,7,31,6.35,3.89
1993,8,1,14.01,4.32
1993,8,2,13.25,6.25
1993,8,3,8.37,0.95
1993,8,4,13.0,6.71
1993,8,5,13.33,1.81
1993,8,6,9.21,3.09
1993,8,7,7.62,4.4
1993,8,8,6.88,1.3
1993,8,9,7.19,2.11
1993,8,10,12.25,6.35
1993,8,11,7.95,2.15
1993,8,12,8.93,4.14
1993,8,13,9.45,5.3
1993,8,14,10.73,6.28
1993,8,15,16.49,11.64
1993,8,16,16.56,9.66
1993,8,17,10.17,6.68
1993,8,18,7.89,3.38
1993,8,19,4.61,2.98
1993,8,20,5.83,3.14
1993,8,21,6.01,3.52
1993,8,22,9.42,6.08
1993,8,23,12.88,3.07
1993,8,24,6.48,1.84
1993,8,25,7.4,4.34
1993,8,26,7.85,1.13
1993,8,27,10.64,3.72
1993,8,28,11.08,4.63
1993,8,29,10.7,7.66
1993,8,30,9.14,3.91
1993,8,31,9.07,3.88
1993,9,1,9.46,1.42
1993,9,2,6.93,3.27
1993,9,3,5.33,1.26
1993,9,4,8.15,3.38
1993,9,5,11.35,3.71
1993,9,6,10.48,1.27
1993,9,7,9.99,3.57
1993,9,8,10.06,4.66
1993,9,9,12.15,9.92
1993,9,10,11.41,0.92
1993,9,11,11.89,3.89
1993,9,12,18.86,10.46
