Indicator 56 Monthly fuel usage of the generator sets and boilers,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Jan-93,-67.60269444,62.87380556,Mawson,Fuel usage,46837,,litres,,
Feb-93,-67.60269444,62.87380556,Mawson,Fuel usage,44224,,litres,,
Mar-93,-67.60269444,62.87380556,Mawson,Fuel usage,60008,,litres,,
Apr-93,-67.60269444,62.87380556,Mawson,Fuel usage,66361,,litres,,
May-93,-67.60269444,62.87380556,Mawson,Fuel usage,73614,,litres,,
Jun-93,-67.60269444,62.87380556,Mawson,Fuel usage,68455,,litres,,
Jul-93,-67.60269444,62.87380556,Mawson,Fuel usage,70883,,litres,,
Aug-93,-67.60269444,62.87380556,Mawson,Fuel usage,69062,,litres,,
Sep-93,-67.60269444,62.87380556,Mawson,Fuel usage,68592,,litres,,
Oct-93,-67.60269444,62.87380556,Mawson,Fuel usage,62229,,litres,,
Nov-93,-67.60269444,62.87380556,Mawson,Fuel usage,50975,,litres,,
Dec-93,-67.60269444,62.87380556,Mawson,Fuel usage,57053,,litres,,
Jan-94,-67.60269444,62.87380556,Mawson,Fuel usage,51568,,litres,,
Feb-94,-67.60269444,62.87380556,Mawson,Fuel usage,58484,,litres,,
Mar-94,-67.60269444,62.87380556,Mawson,Fuel usage,76078,,litres,,
Apr-94,-67.60269444,62.87380556,Mawson,Fuel usage,74699,,litres,,
May-94,-67.60269444,62.87380556,Mawson,Fuel usage,78484,,litres,,
Jun-94,-67.60269444,62.87380556,Mawson,Fuel usage,68931,,litres,,
Jul-94,-67.60269444,62.87380556,Mawson,Fuel usage,73453,,litres,,
Aug-94,-67.60269444,62.87380556,Mawson,Fuel usage,75598,,litres,,
Sep-94,-67.60269444,62.87380556,Mawson,Fuel usage,69716,,litres,,
Oct-94,-67.60269444,62.87380556,Mawson,Fuel usage,65339,,litres,,
Nov-94,-67.60269444,62.87380556,Mawson,Fuel usage,59819,,litres,,
Dec-94,-67.60269444,62.87380556,Mawson,Fuel usage,53094,,litres,,
Jan-95,-67.60269444,62.87380556,Mawson,Fuel usage,53587,,litres,,
Feb-95,-67.60269444,62.87380556,Mawson,Fuel usage,54743,,litres,,
Mar-95,-67.60269444,62.87380556,Mawson,Fuel usage,61617,,litres,,
Apr-95,-67.60269444,62.87380556,Mawson,Fuel usage,61463,,litres,,
May-95,-67.60269444,62.87380556,Mawson,Fuel usage,65657,,litres,,
Jun-95,-67.60269444,62.87380556,Mawson,Fuel usage,64673,,litres,,
Jul-95,-67.60269444,62.87380556,Mawson,Fuel usage,59942,,litres,,
Aug-95,-67.60269444,62.87380556,Mawson,Fuel usage,69094,,litres,,
Sep-95,-67.60269444,62.87380556,Mawson,Fuel usage,63870,,litres,,
Oct-95,-67.60269444,62.87380556,Mawson,Fuel usage,62003,,litres,,
Nov-95,-67.60269444,62.87380556,Mawson,Fuel usage,54392,,litres,,
Dec-95,-67.60269444,62.87380556,Mawson,Fuel usage,53070,,litres,,
Jan-96,-67.60269444,62.87380556,Mawson,Fuel usage,48309,,litres,,
Feb-96,-67.60269444,62.87380556,Mawson,Fuel usage,52263,,litres,,
Mar-96,-67.60269444,62.87380556,Mawson,Fuel usage,57795,,litres,,
Apr-96,-67.60269444,62.87380556,Mawson,Fuel usage,58533,,litres,,
May-96,-67.60269444,62.87380556,Mawson,Fuel usage,68915,,litres,,
Jun-96,-67.60269444,62.87380556,Mawson,Fuel usage,60460,,litres,,
Jul-96,-67.60269444,62.87380556,Mawson,Fuel usage,65854,,litres,,
Aug-96,-67.60269444,62.87380556,Mawson,Fuel usage,65699,,litres,,
Sep-96,-67.60269444,62.87380556,Mawson,Fuel usage,61383,,litres,,
Oct-96,-67.60269444,62.87380556,Mawson,Fuel usage,61849,,litres,,
Nov-96,-67.60269444,62.87380556,Mawson,Fuel usage,53479,,litres,,
Dec-96,-67.60269444,62.87380556,Mawson,Fuel usage,52755,,litres,,
Jan-97,-67.60269444,62.87380556,Mawson,Fuel usage,49877,,litres,,
Jan-97,-68.57661111,77.96738889,Davis,Fuel usage,51054,,litres,,
Feb-97,-67.60269444,62.87380556,Mawson,Fuel usage,47039,,litres,,
Feb-97,-68.57661111,77.96738889,Davis,Fuel usage,49176,,litres,,
Mar-97,-67.60269444,62.87380556,Mawson,Fuel usage,55874,,litres,,
Mar-97,-68.57661111,77.96738889,Davis,Fuel usage,55497,,litres,,
Apr-97,-67.60269444,62.87380556,Mawson,Fuel usage,63655,,litres,,
Apr-97,-68.57661111,77.96738889,Davis,Fuel usage,56360,,litres,,
May-97,-67.60269444,62.87380556,Mawson,Fuel usage,71595,,litres,,
May-97,-68.57661111,77.96738889,Davis,Fuel usage,62587,,litres,,
Jun-97,-67.60269444,62.87380556,Mawson,Fuel usage,65415,,litres,,
Jun-97,-68.57661111,77.96738889,Davis,Fuel usage,56898,,litres,,
Jul-97,-67.60269444,62.87380556,Mawson,Fuel usage,74792,,litres,,
Jul-97,-68.57661111,77.96738889,Davis,Fuel usage,60825,,litres,,
Aug-97,-67.60269444,62.87380556,Mawson,Fuel usage,70679,,litres,,
Aug-97,-68.57661111,77.96738889,Davis,Fuel usage,62583,,litres,,
Sep-97,-67.60269444,62.87380556,Mawson,Fuel usage,63957,,litres,,
Sep-97,-68.57661111,77.96738889,Davis,Fuel usage,55646,,litres,,
Oct-97,-67.60269444,62.87380556,Mawson,Fuel usage,63711,,litres,,
Oct-97,-68.57661111,77.96738889,Davis,Fuel usage,54967,,litres,,
Nov-97,-67.60269444,62.87380556,Mawson,Fuel usage,52666,,litres,,
Nov-97,-68.57661111,77.96738889,Davis,Fuel usage,48073,,litres,,
Dec-97,-67.60269444,62.87380556,Mawson,Fuel usage,50265,,litres,,
Dec-97,-68.57661111,77.96738889,Davis,Fuel usage,49836,,litres,,
Jan-98,-67.60269444,62.87380556,Mawson,Fuel usage,44981,,litres,,
Jan-98,-68.57661111,77.96738889,Davis,Fuel usage,47983,,litres,,
Jan-98,-66.28180556,110.5276111,Casey,Fuel usage,39798,,litres,,
Feb-98,-67.60269444,62.87380556,Mawson,Fuel usage,47092,,litres,,
Feb-98,-68.57661111,77.96738889,Davis,Fuel usage,42118,,litres,,
Feb-98,-66.28180556,110.5276111,Casey,Fuel usage,37325,,litres,,
Mar-98,-67.60269444,62.87380556,Mawson,Fuel usage,54409,,litres,,
Mar-98,-68.57661111,77.96738889,Davis,Fuel usage,54923,,litres,,
Mar-98,-66.28180556,110.5276111,Casey,Fuel usage,46425,,litres,,
Apr-98,-67.60269444,62.87380556,Mawson,Fuel usage,59613,,litres,,
Apr-98,-68.57661111,77.96738889,Davis,Fuel usage,58602,,litres,,
Apr-98,-66.28180556,110.5276111,Casey,Fuel usage,52213,,litres,,
May-98,-67.60269444,62.87380556,Mawson,Fuel usage,68362,,litres,,
May-98,-68.57661111,77.96738889,Davis,Fuel usage,52949,,litres,,
May-98,-66.28180556,110.5276111,Casey,Fuel usage,50651,,litres,,
Jun-98,-67.60269444,62.87380556,Mawson,Fuel usage,56935,,litres,,
Jun-98,-68.57661111,77.96738889,Davis,Fuel usage,53183,,litres,,
Jun-98,-66.28180556,110.5276111,Casey,Fuel usage,51849,,litres,,
Jul-98,-67.60269444,62.87380556,Mawson,Fuel usage,65080,,litres,,
Jul-98,-68.57661111,77.96738889,Davis,Fuel usage,57342,,litres,,
Jul-98,-66.28180556,110.5276111,Casey,Fuel usage,54132,,litres,,
Aug-98,-67.60269444,62.87380556,Mawson,Fuel usage,60948,,litres,,
Aug-98,-68.57661111,77.96738889,Davis,Fuel usage,53520,,litres,,
Aug-98,-66.28180556,110.5276111,Casey,Fuel usage,50191,,litres,,
Sep-98,-67.60269444,62.87380556,Mawson,Fuel usage,59421,,litres,,
Sep-98,-68.57661111,77.96738889,Davis,Fuel usage,52118,,litres,,
Sep-98,-66.28180556,110.5276111,Casey,Fuel usage,49837,,litres,,
Oct-98,-67.60269444,62.87380556,Mawson,Fuel usage,58667,,litres,,
Oct-98,-68.57661111,77.96738889,Davis,Fuel usage,53002,,litres,,
Oct-98,-66.28180556,110.5276111,Casey,Fuel usage,47533,,litres,,
Nov-98,-67.60269444,62.87380556,Mawson,Fuel usage,48478,,litres,,
Nov-98,-68.57661111,77.96738889,Davis,Fuel usage,47142,,litres,,
Nov-98,-66.28180556,110.5276111,Casey,Fuel usage,42721,,litres,,
Dec-98,-67.60269444,62.87380556,Mawson,Fuel usage,44645,,litres,,
Dec-98,-68.57661111,77.96738889,Davis,Fuel usage,44269,,litres,,
Dec-98,-66.28180556,110.5276111,Casey,Fuel usage,44841,,litres,,
Jan-99,-67.60269444,62.87380556,Mawson,Fuel usage,48847,,litres,,
Jan-99,-68.57661111,77.96738889,Davis,Fuel usage,45175,,litres,,
Jan-99,-66.28180556,110.5276111,Casey,Fuel usage,44809,,litres,,
Feb-99,-67.60269444,62.87380556,Mawson,Fuel usage,43846,,litres,,
Feb-99,-68.57661111,77.96738889,Davis,Fuel usage,40304,,litres,,
Feb-99,-66.28180556,110.5276111,Casey,Fuel usage,42059,,litres,,
Mar-99,-67.60269444,62.87380556,Mawson,Fuel usage,51693,,litres,,
Mar-99,-68.57661111,77.96738889,Davis,Fuel usage,52242,,litres,,
Mar-99,-66.28180556,110.5276111,Casey,Fuel usage,49264,,litres,,
Apr-99,-67.60269444,62.87380556,Mawson,Fuel usage,57425,,litres,,
Apr-99,-68.57661111,77.96738889,Davis,Fuel usage,54268,,litres,,
Apr-99,-66.28180556,110.5276111,Casey,Fuel usage,53098,,litres,,
May-99,-67.60269444,62.87380556,Mawson,Fuel usage,64140,,litres,,
May-99,-68.57661111,77.96738889,Davis,Fuel usage,58602,,litres,,
May-99,-66.28180556,110.5276111,Casey,Fuel usage,50462,,litres,,
Jun-99,-67.60269444,62.87380556,Mawson,Fuel usage,59237,,litres,,
Jun-99,-68.57661111,77.96738889,Davis,Fuel usage,55011,,litres,,
Jun-99,-66.28180556,110.5276111,Casey,Fuel usage,46395,,litres,,
Jul-99,-67.60269444,62.87380556,Mawson,Fuel usage,63856,,litres,,
Jul-99,-68.57661111,77.96738889,Davis,Fuel usage,56995,,litres,,
Jul-99,-66.28180556,110.5276111,Casey,Fuel usage,51296,,litres,,
Aug-99,-67.60269444,62.87380556,Mawson,Fuel usage,64204,,litres,,
Aug-99,-68.57661111,77.96738889,Davis,Fuel usage,52146,,litres,,
Aug-99,-66.28180556,110.5276111,Casey,Fuel usage,48947,,litres,,
Sep-99,-67.60269444,62.87380556,Mawson,Fuel usage,60470,,litres,,
Sep-99,-68.57661111,77.96738889,Davis,Fuel usage,52698,,litres,,
