Indicator 59 Monthly electricity usage at Australian Antarctic Stations,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Jan-86,-67.60269444,62.87380556,Mawson,Station electricity usage,131866,,kWh,,
Jan-86,-68.57661111,77.96738889,Davis,Station electricity usage,,,kWh,,
Jan-86,-66.28180556,110.5276111,Casey,Station electricity usage,118850,,kWh,,
Jan-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,31457,,kWh,,
Feb-86,-67.60269444,62.87380556,Mawson,Station electricity usage,,,kWh,,
Feb-86,-68.57661111,77.96738889,Davis,Station electricity usage,,,kWh,,
Feb-86,-66.28180556,110.5276111,Casey,Station electricity usage,118646,,kWh,,
Feb-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,26969,,kWh,,
Mar-86,-67.60269444,62.87380556,Mawson,Station electricity usage,132624,,kWh,,
Mar-86,-68.57661111,77.96738889,Davis,Station electricity usage,,,kWh,,
Mar-86,-66.28180556,110.5276111,Casey,Station electricity usage,138179,,kWh,,
Mar-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,32276,,kWh,,
Apr-86,-67.60269444,62.87380556,Mawson,Station electricity usage,159096,,kWh,,
Apr-86,-68.57661111,77.96738889,Davis,Station electricity usage,,,kWh,,
Apr-86,-66.28180556,110.5276111,Casey,Station electricity usage,139818,,kWh,,
Apr-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,29256,,kWh,,
May-86,-67.60269444,62.87380556,Mawson,Station electricity usage,168630,,kWh,,
May-86,-66.28180556,110.5276111,Casey,Station electricity usage,150854,,kWh,,
May-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,33720,,kWh,,
Jun-86,-67.60269444,62.87380556,Mawson,Station electricity usage,171122,,kWh,,
Jun-86,-66.28180556,110.5276111,Casey,Station electricity usage,144110,,kWh,,
Jun-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,33010,,kWh,,
Jul-86,-67.60269444,62.87380556,Mawson,Station electricity usage,171248,,kWh,,
Jul-86,-66.28180556,110.5276111,Casey,Station electricity usage,147306,,kWh,,
Jul-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,20964,,kWh,,
Aug-86,-67.60269444,62.87380556,Mawson,Station electricity usage,172494,,kWh,,
Aug-86,-66.28180556,110.5276111,Casey,Station electricity usage,143744,,kWh,,
Aug-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,33830,,kWh,,
Sep-86,-67.60269444,62.87380556,Mawson,Station electricity usage,159418,,kWh,,
Sep-86,-66.28180556,110.5276111,Casey,Station electricity usage,124296,,kWh,,
Sep-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,34996,,kWh,,
Oct-86,-67.60269444,62.87380556,Mawson,Station electricity usage,153104,,kWh,,
Oct-86,-66.28180556,110.5276111,Casey,Station electricity usage,136664,,kWh,,
Oct-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,33328,,kWh,,
Nov-86,-67.60269444,62.87380556,Mawson,Station electricity usage,139720,,kWh,,
Nov-86,-66.28180556,110.5276111,Casey,Station electricity usage,136144,,kWh,,
Nov-86,-54.61988889,158.861,Macquarie Island,Station electricity usage,32597,,kWh,,
Dec-86,-67.60269444,62.87380556,Mawson,Station electricity usage,130816,,kWh,,
Dec-86,-66.28180556,110.5276111,Casey,Station electricity usage,128394,,kWh,,
